"","self.time","self.pct","total.time","total.pct"
"""eigen""",8122.44,96.09,8127.31,96.15
""".Fortran""",110.39,1.31,110.39,1.31
""".Call""",46.8,0.55,46.8,0.55
"""Matern""",38.89,0.46,42.92,0.51
"""t.default""",34.38,0.41,34.38,0.41
"""neg_log_lik""",25.59,0.3,26.17,0.31
"""f""",7.91,0.09,9.64,0.11
"""saveRDS""",6.72,0.08,6.72,0.08
"""*""",4.84,0.06,4.84,0.06
"""qr.q2ty""",4.62,0.05,121.72,1.44
"""do.call""",4.26,0.05,97.08,1.15
"""any""",4.04,0.05,4.04,0.05
"""%*%""",3.58,0.04,3.58,0.04
"""FUN""",3.36,0.04,8132.42,96.21
"""bisection.search""",3.06,0.04,11.46,0.14
"""apply""",2.86,0.03,9.93,0.12
"""array""",2.16,0.03,2.17,0.03
"""structure""",2.15,0.03,2.15,0.03
"""Krig.df.to.lambda""",1.66,0.02,13.64,0.16
"""is.finite""",1.48,0.02,1.48,0.02
"""sample.int""",1.44,0.02,3.47,0.04
"""stopifnot""",1.44,0.02,2.13,0.03
"""sum""",1.41,0.02,1.41,0.02
"""all""",1.39,0.02,1.39,0.02
"""Krig.flplike""",1.27,0.02,1.27,0.02
"""paste""",1.16,0.01,1.23,0.01
"""Krig.fs2hat""",1.08,0.01,1.08,0.01
"""Krig.fgcv.one""",0.8,0.01,0.87,0.01
"""Krig.fgcv""",0.75,0.01,0.81,0.01
"""rbind""",0.73,0.01,8.45,0.1
"""Krig.fgcv.model""",0.72,0.01,0.81,0.01
"""%in%""",0.57,0.01,0.65,0.01
"""length""",0.54,0.01,0.54,0.01
""".External2""",0.52,0.01,28.46,0.34
"""c""",0.5,0.01,0.5,0.01
"""aperm.default""",0.49,0.01,0.51,0.01
"""matrix""",0.39,0,0.6,0.01
"""KrigFindLambda""",0.38,0,19.54,0.23
"""logSumExp""",0.3,0,0.42,0
"""...elt""",0.27,0,0.4,0
"""list""",0.26,0,0.26,0
"""lapply""",0.25,0,8131,96.19
"""Krig.ftrace""",0.25,0,0.25,0
"""fields::Krig""",0.2,0,8390.46,99.26
"""project_forward_log""",0.2,0,0.35,0
"""unique.default""",0.18,0,0.18,0
"""unique""",0.16,0,3.73,0.04
"""unlist""",0.16,0,0.38,0
"""<Anonymous>""",0.15,0,28.07,0.33
"""strsplit""",0.13,0,0.13,0
