"","total.time","total.pct","self.time","self.pct"
"""alfak""",8452.65,100,0,0
"""fields::Krig""",8390.46,99.26,0.2,0
"""Krig.engine.default""",8302.62,98.23,0.02,0
"""FUN""",8132.42,96.21,3.36,0.04
"""lapply""",8131,96.19,0.25,0
"""eigen""",8127.31,96.15,8122.44,96.09
"""xval""",7772.15,91.95,0,0
"""fitKrig""",642.1,7.6,0,0
"""standardGeneric""",122.71,1.45,0.12,0
"""qr.q2ty""",121.72,1.44,4.62,0.05
"""t""",121.53,1.44,0,0
""".Fortran""",110.39,1.31,110.39,1.31
"""qr.qty""",110.3,1.3,0,0
"""do.call""",97.08,1.15,4.26,0.05
"""stationary.cov""",95.37,1.13,0.11,0
"""qr.yq2""",70.97,0.84,0,0
"""rdist""",46.81,0.55,0.01,0
""".Call""",46.8,0.55,46.8,0.55
"""Matern""",42.92,0.51,38.89,0.46
"""predict.Krig""",41.02,0.49,0.12,0
"""Krig.coef""",36.94,0.44,0.05,0
"""t.default""",34.38,0.41,34.38,0.41
"""%d*%""",31.95,0.38,0.05,0
"""solve_fitness_bootstrap""",31.68,0.37,0,0
""".External2""",28.46,0.34,0.52,0.01
"""<Anonymous>""",28.07,0.33,0.15,0
"""stats::optim""",27.17,0.32,0,0
"""joint_optimize""",26.69,0.32,0,0
"""fn""",26.62,0.31,0.09,0
"""neg_log_lik""",26.17,0.31,25.59,0.3
"""KrigFindLambda""",19.54,0.23,0.38,0
"""Krig.df.to.lambda""",13.64,0.16,1.66,0.02
"""stats::predict""",11.92,0.14,0,0
"""bisection.search""",11.46,0.14,3.06,0.04
"""apply""",9.93,0.12,2.86,0.03
"""f""",9.64,0.11,7.91,0.09
"""rbind""",8.45,0.1,0.73,0.01
"""saveRDS""",6.72,0.08,6.72,0.08
""".local""",4.85,0.06,0.01,0
"""*""",4.84,0.06,4.84,0.06
"""any""",4.04,0.05,4.04,0.05
"""unique""",3.73,0.04,0.16,0
"""%*%""",3.58,0.04,3.58,0.04
"""sample.int""",3.47,0.04,1.44,0.02
"""unique.matrix""",3.38,0.04,0.02,0
"""asplit""",3.21,0.04,0,0
"""gen_nn_info""",3.01,0.04,0,0
"""gen_all_neighbours""",2.59,0.03,0.05,0
"""array""",2.17,0.03,2.16,0.03
"""structure""",2.15,0.03,2.15,0.03
"""stopifnot""",2.13,0.03,1.44,0.02
"""nrow""",2.11,0.02,0.03,0
"""Krig.transform.xY""",1.92,0.02,0,0
"""sapply""",1.84,0.02,0,0
"""Krig.replicates""",1.72,0.02,0,0
"""cat.matrix""",1.69,0.02,0.03,0
"""is.finite""",1.48,0.02,1.48,0.02
