"Transition_Karyotypes","n"
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",71728
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",51128
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",40457
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",38631
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",33100
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",30909
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",24036
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",20772
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",20660
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",20048
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",18064
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",16960
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",15896
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",14365
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",13762
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",13656
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",13648
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",13568
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",13176
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",12774
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",11478
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",10900
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",10896
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",9864
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",8598
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",8432
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",7952
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",7856
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",7820
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",7810
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",7444
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",7094
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",7088
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",7038
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",6893
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",6856
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",6848
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",6834
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",6740
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",6582
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",6580
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",6124
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",6004
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",5904
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",5866
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",5866
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.1.1.2.2.2.2.1",5720
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",5640
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",5631
"2.2.2.1.1.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",5588
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",5504
"2.2.2.2.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",5408
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",5235
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",5234
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",5222
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",4974
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",4784
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",4748
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",4748
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",4746
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",4738
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",4392
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",4250
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",4184
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",3974
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",3974
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",3974
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",3974
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",3974
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",3938
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",3898
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",3894
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3864
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3864
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3856
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3790
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",3720
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",3696
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",3654
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",3618
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",3594
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3570
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.1.1.2.2.2.2.1",3476
"1.2.2.1.1.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",3435
"1.2.2.2.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",3418
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",3379
"2.2.3.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3265
"2.2.3.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3239
"2.2.2.2.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",3220
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",3205
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",3188
"2.2.2.1.1.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",3160
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3154
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",3153
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",3140
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.1.1.2.2.2.2.1",3134
"2.2.3.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",3084
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",3073
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",2982
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",2976
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",2974
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.3.2.2.2.2.1",2934
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",2924
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",2876
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",2858
"2.2.3.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",2812
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",2756
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",2730
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",2717
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",2566
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",2542
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",2536
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",2448
"2.2.3.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",2379
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.3.2.2.2.2.1",2358
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",2241
"2.2.3.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",2066
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",2065
"1.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",1984
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",1880
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",1879
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",1745
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1738
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1738
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",1729
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",1494
