"seed","condition1_final_population","condition1_final_diversity","ranked_final_population","ranked_final_diversity","ranked_population_reduction_pct","ranked_diversity_reduction_pct","random_final_population","random_final_diversity","random_population_reduction_pct","random_diversity_reduction_pct"
1,60380,2702,60186,2634,0.321298443193108,2.51665433012583,101738,3041,-68.4961907916529,-12.5462620281273
2,100539,3081,41393,2323,58.8289121634391,24.6024018175917,66539,2710,33.8177224758551,12.0415449529374
3,59944,2566,50229,2635,16.2067930068064,-2.68901013250196,63278,2543,-5.56185773388496,0.896336710833978
4,63971,2540,77395,3054,-20.9845086054619,-20.2362204724409,85973,3192,-34.393709649685,-25.6692913385827
5,86176,3139,51591,2752,40.1329836613442,12.3287671232877,70084,3102,18.6734125510583,1.17871933736858
6,70946,3142,79695,3089,-12.3319144137795,1.68682367918523,110526,3293,-55.7889098751163,-4.80585614258433
7,114199,3343,57938,2776,49.2657553919036,16.9608136404427,87323,3050,23.5343566931409,8.76458271014059
8,90791,3153,43759,2439,51.8024914363759,22.6450999048525,61070,2614,32.735623575024,17.0948303203298
9,61385,2651,53220,2513,13.3012951046673,5.2055827989438,81830,3055,-33.3061822920909,-15.2395322519804
10,81863,3057,38889,2354,52.4950221711884,22.9964017010141,59141,2762,27.7561291425919,9.64998364409552
11,58313,2723,60213,2706,-3.25827859996912,0.624311421226587,87065,2949,-49.3063296349013,-8.29966948218877
12,85227,2886,54219,2606,36.3828364250766,9.70200970200971,74354,2853,12.7576941579546,1.14345114345115
13,74124,2894,77250,3136,-4.2172575683989,-8.36212854181064,104993,3373,-41.6450812152609,-16.5514858327574
14,105109,3360,56897,2767,45.8685745273954,17.6488095238095,68460,2910,34.8676136201467,13.3928571428571
15,68459,2941,80293,2911,-17.2862589287019,1.02006120367222,101479,3095,-48.2332490980003,-5.23631417885073
16,98614,3082,43304,2205,56.0873709615268,28.4555483452304,75325,2836,23.6163222260531,7.98182998053212
17,75536,2836,53104,2426,29.6970980724423,14.4569816643159,82330,2712,-8.99438678246134,4.37235543018336
18,72810,2656,43057,2398,40.8638923224832,9.71385542168674,67383,2627,7.45364647713226,1.09186746987951
19,67334,2629,64610,2838,4.04550449995544,-7.94979079497908,95040,3022,-41.1471173552737,-14.9486496766831
20,97589,3073,76755,3291,21.3487175808749,-7.09404490725676,79174,3222,18.8699546055396,-4.8486820696388
